doc_id,entity_text,entity_type,chebi_id,predicted_id
9020177,phosphate,ChemMet,CHEBI:18367,CHEBI:41473
9020177,dicarboxylate,ChemMet,CHEBI:28965,CHEBI:35694
9020177,dicarboxylate,ChemMet,CHEBI:28965,CHEBI:35694
9020177,malate,ChemMet,CHEBI:15589,CHEBI:15595
9020177,succinate,ChemMet,CHEBI:26810,CHEBI:30779
9020177,malonate,ChemMet,CHEBI:38083,CHEBI:30795
9020177,dicarboxylate,ChemMet,CHEBI:28965,CHEBI:35694
12202921,nitrite,ChemMet,CHEBI:16301,CHEBI:16301
12202921,nitrite,ChemMet,CHEBI:16301,CHEBI:16301
12202921,nitrite,ChemMet,CHEBI:16301,CHEBI:16301
12202921,nitrite,ChemMet,CHEBI:16301,CHEBI:16301
12202921,Nitrates,ChemMet,CHEBI:51081,CHEBI:51081
12202921,nitrate,ChemMet,CHEBI:17632,CHEBI:17632
12202921,Nitrate,ChemMet,CHEBI:17632,CHEBI:17632
12202921,nitrite,ChemMet,CHEBI:16301,CHEBI:16301
12202921,Nitrate,ChemMet,CHEBI:17632,CHEBI:17632
12202921,nitrite,ChemMet,CHEBI:16301,CHEBI:16301
12202921,sodium nitrate,ChemMet,CHEBI:63005,CHEBI:63005
12202921,nitrate,ChemMet,CHEBI:17632,CHEBI:17632
12202921,nitrites,ChemMet,CHEBI:25549,CHEBI:25549
12202921,Nitrate,ChemMet,CHEBI:17632,CHEBI:17632
12202921,nitrate,ChemMet,CHEBI:17632,CHEBI:17632
7540573,nitrite,ChemMet,CHEBI:16301,CHEBI:16301
7540573,NO,ChemMet,CHEBI:16480,CHEBI:200985
7540573,nitric oxide,ChemMet,CHEBI:16480,CHEBI:16480
7540573,NO,ChemMet,CHEBI:16480,CHEBI:200985
7540573,NO,ChemMet,CHEBI:16480,CHEBI:200985
7540573,nitric oxide,ChemMet,CHEBI:16480,CHEBI:16480
7540573,aminoguanidine,ChemMet,CHEBI:40618,CHEBI:40618
7540573,NO,ChemMet,CHEBI:16480,CHEBI:200985
2036379,D-fructose,ChemMet,CHEBI:15824,CHEBI:180916
2036379,glucose,ChemMet,CHEBI:4167,CHEBI:17234
2036379,glucose,ChemMet,CHEBI:4167,CHEBI:17234
2036379,D-galactose,ChemMet,CHEBI:4139,CHEBI:28260
2036379,D-mannose,ChemMet,CHEBI:4208,CHEBI:16024
2036379,hexose,ChemMet,CHEBI:4139,CHEBI:18133
2036379,glucose,ChemMet,CHEBI:4167,CHEBI:17234
2036379,glucose,ChemMet,CHEBI:4167,CHEBI:17234
2036379,L-glucose,ChemMet,CHEBI:4167,CHEBI:17234
4719666,potassium,ChemMet,CHEBI:26216,CHEBI:29103
4719666,potassium,ChemMet,CHEBI:26216,CHEBI:29103
4719666,ouabain,ChemMet,CHEBI:472805,CHEBI:145798
4719666,ouabain,ChemMet,CHEBI:472805,CHEBI:145798
4719666,ouabain,ChemMet,CHEBI:472805,CHEBI:145798
4719666,ouabain,ChemMet,CHEBI:472805,CHEBI:145798
4719666,ouabain,ChemMet,CHEBI:472805,CHEBI:145798
4719666,ouabain,ChemMet,CHEBI:472805,CHEBI:145798
4719666,Ouabain,ChemMet,CHEBI:472805,CHEBI:145798
4719666,potassium,ChemMet,CHEBI:26216,CHEBI:29103
4719666,potassium,ChemMet,CHEBI:26216,CHEBI:29103
4719666,potassium,ChemMet,CHEBI:26216,CHEBI:29103
4719666,ouabain,ChemMet,CHEBI:472805,CHEBI:145798
4719666,sodium,ChemMet,CHEBI:26708,CHEBI:29101
4719666,ouabain,ChemMet,CHEBI:472805,CHEBI:145798
4719666,choline,ChemMet,CHEBI:15354,CHEBI:145558
4719666,ouabain,ChemMet,CHEBI:472805,CHEBI:145798
14991668,polyamine,ChemMet,CHEBI:51349,CHEBI:88061
14991668,spermine,ChemMet,CHEBI:15746,CHEBI:45725
14991668,putrescine,ChemMet,CHEBI:17148,CHEBI:17148
14991668,spermine,ChemMet,CHEBI:15746,CHEBI:45725
14991668,spermidine,ChemMet,CHEBI:16610,CHEBI:57834
14991668,spermidine,ChemMet,CHEBI:16610,CHEBI:57834
14991668,putrescine,ChemMet,CHEBI:17148,CHEBI:17148
14991668,polyamine,ChemMet,CHEBI:51349,CHEBI:88061
14991668,polyamine,ChemMet,CHEBI:51349,CHEBI:88061
14991668,polyamines,ChemMet,CHEBI:51349,
14991668,polyamine,ChemMet,CHEBI:51349,CHEBI:88061
19050442,ouabain,ChemMet,CHEBI:472805,CHEBI:145798
19050442,Ouabain,ChemMet,CHEBI:472805,CHEBI:145798
19050442,sodium,ChemMet,CHEBI:26708,CHEBI:29101
